date,url,lang,polarity,magnitude,score,name,type,mid,wikipediaUrl,numMentions,avgSalience,coordinates,row_number
4/8/2020 9:34:51,https://www.n-tv.de/regionales/berlin-und-brandenburg/Aktuell-1599-Corona-Infizierte-in-Brandenburg-35-Todesfaelle-article21701242.html,de,0,2.4,-0.3,Potsdam,LOCATION,/m/0d331,https://en.wikipedia.org/wiki/Potsdam,3,0.076136,"44.66978,-74.98131",1
4/8/2020 15:02:47,https://taz.de/Loveparade-Prozess-endgueltig-eingestellt/!5677574/,de,0,10.6,-0.3,Duisburg,LOCATION,/m/0ps1q,https://en.wikipedia.org/wiki/Duisburg,3,0.004364,"51.43247,6.76516",1
4/8/2020 13:35:01,https://www.badische-zeitung.de/ermittlungen-gegen-rechtsanwaeltin-wegen-corona-aufrufs,de,0,3.9,-0.5,Heidelberg,LOCATION,/m/0cm5m,https://en.wikipedia.org/wiki/Heidelberg,3,0.049643,"40.39229,-80.09089",1
4/8/2020 13:33:10,https://www.n-tv.de/regionales/baden-wuerttemberg/Ermittlungen-gegen-Rechtsanwaeltin-wegen-Corona-Aufrufs-article21702656.html,de,0,3.9,-0.5,Heidelberg,LOCATION,/m/0cm5m,https://en.wikipedia.org/wiki/Heidelberg,3,0.049643,"-26.50476,28.35921",1
4/8/2020 2:31:34,https://zofingertagblatt.ch/?srv=sda&pg=det&id=64846,de,0,2.5,-0.3,US,LOCATION,/m/09c7w0,https://en.wikipedia.org/wiki/United_States,3,0.055284,"42.83528,-89.06761",1
4/8/2020 13:33:23,https://www.nw.de/lokal/kreis_minden_luebbecke/bad_oeynhausen/22747034_Die-Technik-laeuft-doch-der-Schweinebrunnen-sprudelt-nicht.html,de,0,2.5,-0.3,Bad Oeynhausen,LOCATION,/m/06nx5w,https://en.wikipedia.org/wiki/Bad_Oeynhausen,3,0.134089,"52.20699,8.80365",1
4/8/2020 6:18:14,https://www.badenertagblatt.ch/aargau/baden/noch-immer-kein-gemeinde-budget-nun-wird-an-der-urne-entschieden-137620726,de,0,5.3,-0.3,Birmenstorf,LOCATION,/m/03_kdb,"https://en.wikipedia.org/wiki/Birmenstorf,_Aargau",3,0.073642,"47.46152,8.24816",1
4/8/2020 14:20:56,https://www.op-online.de/hessen/filmreife-flucht-wetterau-24-jaehrige-gibt-ploetzlich-polizistin-rettet-sich-hechtsprung-zr-13645636.html,de,0,9.6,-0.3,Bad Nauheim,LOCATION,/m/0csbjd,https://en.wikipedia.org/wiki/Bad_Nauheim,4,0.001968,"50.36463,8.73859",1
4/8/2020 13:32:42,https://www.diepresse.com/5797735/coronaverdacht-auf-franzosischem-flugzeugtrager,de,0,4.8,-0.3,Brest,LOCATION,/m/0fwfm,"https://en.wikipedia.org/wiki/Brest,_France",4,0.020212,"52.09755,23.68775",1
4/8/2020 11:50:19,https://www.express.de/duesseldorf/irrer-autofahrer-in-wesel-polizei-erwischt--mann-aus-der-zukunft--36530862,de,0,5.8,-0.3,Wesel,LOCATION,/m/02mjyg,https://en.wikipedia.org/wiki/Wesel,5,0.052469,"51.6669,6.62037",1
4/8/2020 15:04:51,https://www.rnd.de/wirtschaft/lieferando-betriebswahlen-in-koln-polizeieinsatz-wegen-auseinandersetzung-standortleiter-soll-prugel-angedroht-haben-OC7UAF3XVRA7LC4RQVYA6GRVAY.html,de,0,8.6,-0.3,Köln,LOCATION,/m/01v8c,https://en.wikipedia.org/wiki/Cologne,5,0.036888,"50.93333,6.95",1
4/8/2020 19:19:18,https://www.giessener-anzeiger.de/lokales/stadt-giessen/nachrichten-giessen/marz-wetter-in-giessen-zu-wenig-regen-und-sehr-viel-sonne_21525348,de,0,10.3,-0.5,Gießen,LOCATION,/m/022xzn,https://en.wikipedia.org/wiki/Giessen,6,0.052137,"50.58727,8.67554",1
4/8/2020 17:04:55,https://www.moz.de/nachrichten/brandenburg/artikel-ansicht/dg/0/1/1796127/,de,0,7.5,-0.3,Berlin,LOCATION,/m/0156q,https://en.wikipedia.org/wiki/Berlin,7,0.042249,"42.3812,-71.63701",1
